x,y
0.940139,0.571435
0.668193,0.311208
0.541573,0.651896
0.67454,0.63975
0.614679,0.881346
0.263737,0.357473
0.978836,0.040803
0.651316,0.546792
0.717769,0.068681
0.224308,0.664546
0.762387,0.467338
0.05774,0.799527
0.997467,0.136706
0.105791,0.583886
0.841169,0.864729
0.55671,0.966476
0.023545,0.862165
0.461311,0.849393
0.155642,0.278752
0.365301,0.698238
0.139544,0.025208
0.379202,0.466484
0.066407,0.329808
0.740627,0.66215
0.021378,0.387808
0.648615,0.358892
0.083818,0.276585
0.360494,0.233387
0.943297,0.998489
0.493767,0.356863
0.100252,0.572259
0.911635,0.600427
0.421622,0.667536
0.601602,0.222889
0.076204,0.840848
0.146731,0.581827
0.935744,0.44126
0.803677,0.934096
0.532799,0.236347
0.72726,0.530602
0.176638,0.598398
0.699809,0.51516
0.674144,0.331807
0.644404,0.765667
0.510353,0.160311
0.765805,0.211536
0.656123,0.742443
0.585824,0.962264
0.372519,0.04155
0.799298,0.874861
0.127596,0.615351
0.380514,0.072801
0.34168,0.269398
0.098161,0.908263
0.615122,0.858732
0.855802,0.137118
0.300587,0.01619
0.194507,0.021424
0.940627,0.27361
0.256168,0.025528
0.433661,0.437171
0.794415,0.905303
0.665309,0.867323
0.852277,0.667536
0.665705,0.002182
0.004623,0.713359
0.505821,0.264652
0.529564,0.599298
0.078889,0.582254
0.03856,0.993423
0.019898,0.629511
0.015885,0.192737
0.761303,0.256764
0.628458,0.972885
0.654368,0.966873
0.256229,0.917296
0.532403,0.164492
0.442817,0.885618
0.111437,0.844892
0.753262,0.239734
0.272557,0.753414
0.061234,0.466392
0.754879,0.305806
0.601892,0.751904
0.90425,0.528328
0.895308,0.033463
0.280842,0.480888
0.631434,0.811261
0.830411,0.174578
0.228428,0.972229
0.923507,0.785626
0.38912,0.620386
0.035676,0.875593
0.846281,0.734127
0.758328,0.287282
0.625406,0.909392
0.745602,0.312459
0.758648,0.543542
0.196628,0.956634
0.577386,0.9019
0.815885,0.475395
0.47451,0.319799
0.8327,0.840833
0.577295,0.968856
0.240452,0.281682
0.573281,0.786496
0.142687,0.763607
0.650141,0.472099
0.392111,0.73344
0.745464,0.11458
0.579873,0.646891
0.654612,0.242161
0.797391,0.330404
0.353521,0.426535
0.259144,0.256733
0.641337,0.121538
0.172183,0.7075
0.505119,0.486397
0.107561,0.468513
0.530236,0.886107
0.295445,0.217273
0.04184,0.259205
0.935622,0.470237
0.503899,0.621286
0.895674,0.875715
0.746365,0.94139
0.216175,0.953429
0.520623,0.324712
0.48246,0.994446
0.913802,0.208392
0.612787,0.192508
0.366415,0.463462
0.468437,0.546731
0.399451,0.475654
0.191592,0.323781
0.34844,0.965255
0.009308,0.271275
0.593179,0.697154
0.00531,0.44535
0.391638,0.997894
0.337346,0.072374
0.835767,0.835111
0.239292,0.155291
0.198199,0.538186
0.190768,0.396597
0.485893,0.402533
0.647654,0.651774
0.32575,0.977874
0.023758,0.875349
0.939117,0.865171
0.083818,0.863905
0.551263,0.591714
0.497688,0.113344
0.019471,0.346288
0.200671,0.528206
0.390692,0.000305
0.353826,0.06128
0.412238,0.278569
0.876539,0.334707
0.86389,0.538399
0.290166,0.600336
0.602441,0.52668
0.243427,0.129885
0.042145,0.403143
0.986206,0.999466
0.430472,0.257206
0.614252,0.845701
0.014374,0.272496
0.973419,0.966278
0.220508,0.174624
0.92726,0.726772
0.260777,0.106447
0.083543,0.012406
0.661769,0.887831
0.257633,0.637598
0.152712,0.455589
0.102708,0.414832
0.662654,0.263371
0.58262,0.930709
0.867781,0.535424
0.868193,0.235782
0.237537,0.647318
0.424872,0.508812
0.845151,0.362707
0.235279,0.996887
0.325887,0.165408
0.227253,0.616403
0.62063,0.543618
0.731197,0.181552
0.996811,0.936339
0.343648,0.61622
0.507317,0.808286
0.488777,0.954162
0.067857,0.75436
0.087343,0.135836
0.487282,0.956497
0.980377,0.513283
0.66247,0.927718
0.951125,0.728374
0.901625,0.562356
0.770459,0.994629
0.412467,0.9673
0.723491,0.813382
0.845884,0.983169
0.021195,0.998169
0.984405,0.441535
0.008286,0.440787
0.930129,0.526787
0.582834,0.847486
0.344213,0.099535
0.180621,0.818524
0.442878,0.476753
0.06656,0.77554
0.265721,0.491478
0.369482,0.827115
0.826688,0.019684
0.897658,0.023224
0.348516,0.445411
0.318151,0.073518
0.030777,0.816388
0.356405,0.384512
0.151675,0.859419
0.034134,0.600519
0.77026,0.923262
0.706706,0.123415
0.117723,0.718898
0.263264,0.893751
0.448829,0.134203
0.772213,0.435233
0.464607,0.614267
0.843305,0.810376
0.871427,0.332738
0.889708,0.078157
0.823178,0.626596
0.731594,0.438499
0.031617,0.052735
0.799466,0.134371
0.335729,0.656107
0.988602,0.502205
0.353765,0.493858
0.172747,0.924147
0.835538,0.484184
0.865782,0.445563
0.646235,0.19353
0.398276,0.838758
0.164126,0.469673
0.44477,0.708125
0.011398,0.219883
0.61088,0.431418
0.273579,0.822171
0.17464,0.900511
0.077119,0.84239
0.804822,0.167529
0.226368,0.451392
0.348592,0.738689
0.006882,0.782727
0.314412,0.938674
0.890654,0.004822
0.494133,0.898528
0.351522,0.357717
0.577569,0.989242
0.217548,0.962509
0.198718,0.833387
0.600809,0.049348
0.04126,0.632517
0.431418,0.088869
0.528405,0.112734
0.514214,0.782162
0.20383,0.976684
0.258671,0.136507
0.381491,0.164431
0.896239,0.161624
0.33547,0.601846
0.487739,0.601129
0.023621,0.974487
0.615732,0.173159
0.640482,0.597375
0.623331,0.161563
0.914229,0.021439
0.280827,0.289357
0.854719,0.985519
0.056306,0.056321
0.835401,0.623529
0.932341,0.046509
0.266316,0.274525
0.713527,0.492576
0.982452,0.763241
0.5776,0.958511
0.59321,0.618601
0.2851,0.867765
0.454414,0.191394
0.192737,0.975372
0.539742,0.313664
0.632837,0.583291
0.867109,0.754818
0.551827,0.964721
0.891783,0.663874
0.385748,0.27039
0.58323,0.702586
0.165499,0.631754
0.628199,0.143465
0.709422,0.848722
0.534325,0.915114
0.940688,0.743755
0.942367,0.472801
0.366674,0.591501
0.088624,0.427848
0.63473,0.083177
0.973358,0.628748
0.877134,0.451453
0.893278,0.36286
0.851453,0.627207
0.93637,0.485634
0.504875,0.22829
0.150561,0.462226
0.208438,0.949783
0.273335,0.958419
0.075517,0.365423
0.307195,0.700755
0.887419,0.446571
0.934127,0.586206
0.36875,0.883604
0.19472,0.434318
0.30956,0.417609
0.966567,0.477699
0.454643,0.202304
0.116152,0.331151
0.9093,0.139605
0.825315,0.086244
0.67454,0.965606
0.556435,0.903304
0.454108,0.717632
0.875395,0.588113
0.846189,0.516518
0.935744,0.494133
0.98085,0.0365
0.684611,0.300496
0.003784,0.922606
0.365713,0.729717
0.548775,0.067735
0.166735,0.348684
0.264668,0.111452
0.326696,0.245182
0.200839,0.803281
0.954513,0.137148
0.61976,0.158206
0.933684,0.040467
0.484367,0.084291
0.724224,0.399374
0.695781,0.960632
0.472175,0.51632
0.62562,0.000488
0.022507,0.921248
0.559625,0.615869
0.908186,0.416159
0.052811,0.38027
0.620279,0.807584
0.009232,0.77052
0.125399,0.541558
0.469429,0.257649
0.144244,0.747387
0.716289,0.388617
0.907729,0.526146
0.67776,0.31162
0.393454,0.478676
0.867765,0.091188
0.257832,0.996353
0.115129,0.83714
0.88043,0.883421
0.876127,0.110414
0.715541,0.798688
0.03212,0.368215
0.572213,0.405493
0.109392,0.029786
0.551202,0.651652
0.643793,0.584878
0.585748,0.214237
0.482307,0.150179
0.947723,0.659266
0.256306,0.91931
0.135119,0.181643
0.805722,0.369177
0.932158,0.894423
0.459434,0.766506
0.381277,0.325353
0.872374,0.375769
0.977691,0.65388
0.252613,0.141787
0.328817,0.160586
0.511803,0.321462
0.725658,0.137682
0.02475,0.892592
0.715114,0.688563
0.09836,0.294194
0.23415,0.130663
0.229877,0.156832
0.959503,0.268284
0.743725,0.605432
0.326757,0.768154
0.865873,0.251774
0.394125,0.225589
0.42829,0.610193
0.378119,0.517861
0.194217,0.617472
0.30338,0.631846
0.893599,0.174426
0.740215,0.174533
0.618509,0.830182
0.7579,0.441749
0.070222,0.482628
0.402792,0.628214
0.143236,0.606744
0.421332,0.718379
0.279118,0.668437
0.347829,0.485786
0.911589,0.52221
0.255818,0.073472
0.353445,0.142809
0.658579,0.903288
0.067903,0.468849
0.871321,0.445121
0.349508,0.418341
0.839292,0.601846
0.507378,0.220752
0.867659,0.212314
0.538888,0.792737
0.763439,0.148791
0.776333,0.531411
0.02034,0.935561
0.102358,0.147723
0.612314,0.06038
0.711574,0.578759
0.0262,0.781186
0.998322,0.559457
0.675853,0.23537
0.260792,0.427726
0.291386,0.347524
0.411704,0.664683
0.387564,0.153338
0.144106,0.922454
0.518746,0.655146
0.253223,0.902815
0.374685,0.322881
0.65388,0.370428
0.80972,0.040284
0.697795,0.45568
0.34052,0.453437
0.536461,0.358495
0.045502,0.648722
0.209293,0.363104
0.142657,0.709346
0.111299,0.103212
0.59913,0.266331
0.595789,0.300191
0.650858,0.217853
0.409308,0.912139
0.523751,0.124529
0.17258,0.812711
0.221576,0.651225
0.621668,0.94815
0.210849,0.982269
0.727489,0.693187
0.25774,0.863691
0.727153,0.242756
0.239216,0.758236
0.077546,0.051164
0.055711,0.645869
0.750607,0.629358
0.431891,0.688212
0.127184,0.79089
0.166735,0.532464
0.626581,0.361288
0.917403,0.158556
0.264271,0.875456
0.723751,0.630198
0.200366,0.908446
0.204364,0.343389
0.007141,0.166888
0.282628,0.019699
0.195865,0.976791
0.276356,0.264546
0.433402,0.707103
0.3579,0.81529
0.34934,0.520241
0.036255,0.025818
0.093629,0.032288
0.655161,0.205097
0.563165,0.075441
0.233707,0.850294
0.81471,0.72015
0.173892,0.461723
0.991501,0.083452
0.047318,0.976898
0.554788,0.809186
0.223148,0.813336
0.788556,0.003143
0.51519,0.847868
0.228138,0.476371
0.05565,0.37586
0.037873,0.560769
