x,y,values
0.505516,0.618372,0.008459
0.175158,0.155535,-0.045142
0.526879,0.941726,0.825052
0.629297,0.705119,-1.324345
0.446174,0.149874,25.081071
0.419425,0.91957,-1.003868
0.591119,0.841276,1.000241
0.238239,0.003342,0.135995
0.193835,0.143771,0.802037
0.507103,0.69575,-0.388876
0.868849,0.354498,5.074111
0.320653,0.382574,2.398721
0.628748,0.492622,0.010015
0.301228,0.720592,0.505618
0.029557,0.628763,1.13471
0.67332,0.834165,3.517342
0.312123,0.880537,0.041467
0.636805,0.951888,6.384351
0.640604,0.240299,7.674956
0.437339,0.769482,-0.301111
0.044404,0.8224,0.639314
0.88629,0.817838,-2.024184
0.605844,0.12958,3.778294
0.898131,0.646296,-0.994132
0.200336,0.266148,3.831308
0.557549,0.776349,0.879841
0.409339,0.21062,9.990897
0.664744,0.289693,2.515294
0.064256,0.345205,3.288977
0.602853,0.875883,1.551193
0.824857,0.078325,1.017208
0.625483,0.841871,1.964003
0.963348,0.810117,1.261858
0.473457,0.387732,3.917793
0.426734,0.763607,0.594745
0.304341,0.123507,7.742177
0.767254,0.952682,0.556404
0.44387,0.619593,-0.912427
0.291646,0.133852,5.846915
0.228824,0.071427,0.725395
0.600305,0.284276,8.230332
0.138155,0.646509,-0.025364
0.551232,0.002274,-0.418281
0.788647,0.525414,0.825076
0.190234,0.321431,2.687478
0.542138,0.646571,-0.144041
0.414771,0.870283,-1.253756
0.994461,0.701823,1.664771
0.38349,0.84686,0.051833
0.189639,0.0542,0.638981
0.348165,0.616571,-1.985022
0.784894,0.175555,4.966908
0.814282,0.993515,0.777551
0.937606,0.65333,0.741761
0.439307,0.270787,4.348164
0.054704,0.289525,3.334995
0.464393,0.924437,1.088562
0.81973,0.098283,1.121614
0.198642,0.55346,0.078822
0.585229,0.771832,-0.024397
0.434318,0.407614,1.049962
0.783581,0.670893,-2.258125
0.729122,0.586542,0.500198
0.251392,0.363348,6.105612
0.381216,0.083864,23.906934
0.869886,0.469825,0.090733
0.707225,0.043214,1.437555
0.285359,0.013535,1.666339
0.318456,0.108782,11.107719
0.977768,0.172854,1.944589
